directions,ingredients
,
"Heat oil in a large skillet over high heat. Stir in flour and cook, stirring constantly, for 5 minutes or until mixture is the color of a copper penny. Reduce heat to low and stir in bell pepper and onion. Cook 10 to 15 minutes, or until tender, stirring occasionally.
                            ,Add chicken, tomatoes with green chile peppers, mushrooms, parsley, Worcestershire sauce, garlic, soy sauce, sugar, salt, pepper and hot sauce. Stir together, cover and simmer for 20 minutes.
                            ","1/4 cup oil for frying,1/4 cup all-purpose flour,1 green bell pepper, chopped,1 onion, chopped,2 cups cooked, chopped chicken breast meat,1 (14.5 ounce) can diced tomatoes with green chile peppers, with liquid,1 (4.5 ounce) can sliced mushrooms, drained,2 tablespoons chopped fresh parsley,2 teaspoons Worcestershire sauce,3 cloves garlic, minced,1 teaspoon soy sauce,1 teaspoon white sugar,1/2 teaspoon salt,1/2 teaspoon ground black pepper,3 dashes hot sauce"
,
"Heat oil in a skillet over medium heat; stir in onion and garlic. Cook and stir until onion and garlic have softened and turned translucent, about 5 minutes.
                            ,Place chicken breasts in the bottom of a slow cooker; add onion, garlic, vegetable broth, diced tomatoes, sweet potatoes, quinoa, green onions, mushrooms, curry powder, oregano, pepper, and bay leaf and mix well. Cook on Low until chicken is tender, 7 to 8 hours.
                            ,Discard bay leaf. Remove chicken; shred using 2 forks and place back into the stew, mixing well before serving.
                            ","1 teaspoon olive oil,1 onion, chopped,3 cloves garlic, minced,4 skinless, boneless chicken breasts,1 (32 fluid ounce) container vegetable broth,1 (14.5 ounce) can diced tomatoes,2 sweet potatoes, diced,1 cup uncooked quinoa,1 teaspoon ground black pepper,5 mushrooms, chopped,2 teaspoons dried oregano,2 teaspoons curry powder,5 green onions, chopped,1 bay leaf"
,
"In a large bowl, cream together butter and sugar until smooth. Beat in eggs and vanilla. Stir in the  flour, baking powder, and salt. Cover, and chill dough for at least one hour (or overnight).
                            ,Preheat oven to 400 degrees F (200 degrees C). Roll out dough on floured surface 1/4 to 1/2 inch thick. Cut into shapes with any cookie cutter. Place cookies 1 inch apart on ungreased cookie sheets.
                            ,Bake 6 to 8 minutes in preheated oven. Cool completely.
                            ","1 1/2 cups butter, softened,2 cups white sugar,4 eggs,1 teaspoon vanilla extract,5 cups all-purpose flour,2 teaspoons baking powder,1 teaspoon salt"
,
"In a microwave-safe bowl, whisk together the sugar and eggs until smooth. Stir in lemon juice, lemon zest and butter. Cook in the microwave for one minute intervals, stirring after each minute until the mixture is thick enough to coat the back of a metal spoon. Remove from the microwave, and pour into small sterile jars. Store for up to three weeks in the refrigerator.
                            ","1 cup white sugar,3 eggs,1 cup fresh lemon juice,3 lemons, zested,1/2 cup unsalted butter, melted"
,
"In a medium bowl, combine pudding mix and milk and stir until mix is dissolved.  Refrigerate 15 minutes, until partially set.
                            ,Stir condensed milk into pudding mixture until smooth.  Fold in sour cream and whipped topping.  Fold in bananas.
                            ,Make a single layer of vanilla wafers in the bottom of a 9x13 inch dish.  Spread pudding evenly over wafers.   Crush remaining wafers and sprinkle on top.  Refrigerate until serving.
                            ","2 (3.4 ounce) packages instant vanilla pudding mix,1 cup milk,1 (14 ounce) can sweetened condensed milk,1 (8 ounce) container sour cream,1 (8 ounce) container frozen whipped topping, thawed,6 bananas, sliced,1/2 (12 ounce) package vanilla wafers"
,
"In a skillet over medium heat, combine the corn, cream, salt, sugar, pepper and butter. Whisk together the milk and flour, and stir into the corn mixture. Cook stirring over medium heat until the mixture is thickened, and corn is cooked through. Remove from heat, and stir in the Parmesan cheese until melted. Serve hot.
                            ","2 (10 ounce) packages frozen corn kernels, thawed,1 cup heavy cream,1 teaspoon salt,2 tablespoons granulated sugar,1/4 teaspoon freshly ground black pepper,2 tablespoons butter,1 cup whole milk,2 tablespoons all-purpose flour,1/4 cup freshly grated Parmesan cheese"
,
"Bring a large pot of lightly salted water to a boil. Add pasta and cook according to package directions; drain. Adjust oven rack to the highest position and turn oven on to Broil. Generously butter or grease an 8x8 inch baking dish.
                            ,Bring marinara and Alfredo sauces along with spinach and 1 tablespoon of Italian seasoning to a simmer over medium-high heat. Reduce heat to medium-low, and simmer for 10 minutes. Stir cooked tortellini into sauce, then pour into prepared baking dish. Sprinkle with Mozzarella cheese, Parmesan cheese, and remaining 1 teaspoon Italian seasoning.
                            ,Broil for a minute or two until cheese has melted and turned golden brown.
                            ","2 (9 ounce) packages cheese tortellini,1 (24 ounce) jar marinara sauce,1 (16 ounce) jar Alfredo sauce,1 (10 ounce) box frozen chopped spinach, thawed and squeezed dry,1 tablespoon dried Italian seasoning,1 (8 ounce) package shredded Mozzarella cheese,1/4 cup freshly grated Parmesan cheese,1 teaspoon dried Italian seasoning"
,
"Preheat oven to 410 degrees F (210 degrees C). Grease a pizza pan.
                            ,Place chicken into a large pot and cover with salted water; bring to a boil. Cook the chicken breasts until no longer pink in the center and the juices run clear, about 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a bowl and shred with two forks.
                            ,Melt butter in a skillet over medium-high heat. Cook and stir chicken and Buffalo wing sauce in the hot butter until chicken is coated and heated through, 2 to 4 minutes.
                            ,Turn pizza dough out onto a generously floured surface. Roll dough into a 12-inch round. Brush dough with 1 tablespoon vegetable oil and spread 1 cup mozzarella cheese in the center of the dough, leaving a 1-inch border. Spread chicken mixture over cheese; top chicken mixture with remaining 1 cup cheese.
                            ,Fold pizza dough in half and pinch edges together to seal. Transfer calzone to prepared pizza pan and brush top with remaining 1 tablespoon oil.
                            ,Bake in the preheated oven until crust is golden brown, 17 to 20 minutes.
                            ","1 pound skinless, boneless chicken breast halves,2 tablespoons butter,1/4 cup Buffalo wing sauce,1 refrigerated pizza dough,2 tablespoons vegetable oil, divided,2 cups shredded mozzarella cheese"
,
"Heat the oil in a large skillet over medium-high heat. Add the sausage and onion. Cook and stir until onion is translucent, 8 to 10 minutes. Add the Brussels sprouts, and cook 10 minutes more. Season with salt and pepper to taste.
                            ","1 tablespoon canola oil,1 (16 ounce) package kielbasa sausage, sliced into 1/2 inch pieces,1 red onion, chopped,14 ounces baby Brussels sprouts, trimmed and cut in half,salt and ground black pepper to taste"
,
"In a medium sized saucepan over medium heat, dissolve the sugar in the orange juice. Stir in the cranberries and cook until the cranberries start to pop (about 10 minutes). Remove from heat and place sauce in a bowl. Cranberry sauce will thicken as it cools.
                            ","12 ounces cranberries,1 cup white sugar,1 cup orange juice"
,
"Slice the sausages lengthwise, leaving them attached along one side. Spread them out flat in a large skillet. Cook over medium heat for 15 minutes, turning once, until the sausages are browned and cooked through. Remove from skillet and set aside.
                            ,Place the ground beef, olive oil, onion, and garlic in the skillet, and cook and stir over medium heat for about 10 minutes, until the onion is translucent and the beef is browned and crumbly. Drain all but 2 tablespoons of fat. Stir in the tomatoes, tomato sauce, salt, pepper, basil, oregano, and bay leaf. Simmer uncovered over low heat for 1 hour, stirring occasionally, until the flavors have blended. Remove the bay leaf.
                            ,Preheat the oven to 350 degrees F (175 degrees C). Bring a large pot of lightly salted water to a boil, drop in the pasta, and cook for 8 to 10 minutes, stirring occasionally, until tender. Drain the pasta, and mix it into the sauce.
                            ,Place servings of hot pasta with sauce on oven-safe plates, place a cooked, opened sausage over each serving, and sprinkle with Parmesan cheese. Place plates in the preheated oven for 5 to 10 minutes, until the cheese has melted and begun to brown.
                            ","2 Italian sausage links, casings removed,1 pound lean ground beef,1 tablespoon olive oil,1 yellow onion, chopped,2 cloves garlic, chopped,1 (14.5 ounce) can whole peeled tomatoes,1 (15 ounce) can tomato sauce,1 teaspoon salt,1/4 teaspoon ground black pepper,1 teaspoon dried basil,1/4 cup chopped fresh oregano,1 bay leaf,1 (16 ounce) package uncooked spaghetti,1/2 cup grated Parmesan cheese"
,
"Preheat oven to 425 degrees F (220 degrees C). Line a muffin tin with parchment paper squares.
                            ,Grate cauliflower into a microwave-safe bowl using a fine grater. Chop up any remaining pieces that are too small to grate but too big for the crust.
                            ,Microwave cauliflower until soft and tender, 4 to 6 minutes. Pour cauliflower into a clean dish towel cool easily handled, 15 to 20 minutes.
                            ,Wrap the towel around the cauliflower and squeeze out as much liquid as possible; the drier the cauliflower is, the better it will hold together as a crust once mixed with the other ingredients.
                            ,Combine cauliflower, 1 cup mozzarella cheese, Parmesan cheese, egg, salt, pepper, garlic powder, and onion powder in a large bowl.
                            ,Scoop cauliflower crust mixture into prepared muffin tin, dividing the mixture evenly among the cups. Pat down cauliflower mixture with the back of a spoon, making it compact.
                            ,Bake in the preheated oven until golden brown, about 15 minutes.
                            ,Spoon a small amount of pizza sauce onto each cauliflower crust. Top with remaining 1 1/2 cups mozzarella cheese, dividing evenly among the crusts.
                            ,Bake until golden brown and cheese is melted, about 15 minutes. Let sit in pan for 5 minutes before moving each bite to a cooling rack. Let cool for 10 minutes. Peel parchment paper squares off the crusts and serve on a platter.
                            ","1 large head cauliflower, cut into large chunks,2 1/2 cups shredded mozzarella cheese, divided,1/2 cup freshly grated Parmesan cheese,1 egg,1/4 teaspoon salt,1/4 teaspoon ground black pepper,1/4 teaspoon garlic powder,1/4 teaspoon onion powder,1/3 cup pizza sauce"
,
"Warm the milk in a small saucepan until it bubbles, then remove from heat.  Let cool until lukewarm. In a small bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes.
                            ,In a large bowl, combine yeast mixture, milk, sugar, oil, baking powder, salt, egg and 3 cups flour. Beat until smooth. Stir in the remaining flour, 1/2 cup at a time, beating well after each addition. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes. Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour.
                            ,Heat brown sugar and 1/2 cup butter until melted. Remove from heat; stir in corn syrup. Divide mixture between two 9x13 inch baking pans. Sprinkle 1/2 cup pecans in each pan.
                            ,When dough has doubled in size, punch down and turn out onto a lightly floured surface. Roll out into a large rectangle and spread with butter. Sprinkle with sugar and cinnamon. Starting with the long side, roll up the rectangle into a log, and slice into 1 inch wide rolls. Place the rolls slightly apart in pans. Wrap pans with aluminum foil and refrigerate at least 12 hours but no longer than 48.
                            ,Remove rolls from refrigerator and let stand in a warm place until doubled in size, about 30 minutes. Meanwhile, preheat oven to 350 degrees F (175 degrees C).
                            ,Bake uncovered in preheated oven until golden 30 to 35 minutes. Immediately invert pan on heatproof serving plate. Wait for 1 or 2 minutes before removing pan, so that caramel drizzles over rolls.
                            ","2 cups milk,2 (.25 ounce) packages active dry yeast,1/2 cup warm water,1/3 cup white sugar,1/3 cup vegetable oil,1 tablespoon baking powder,2 teaspoons salt,1 egg,7 cups all-purpose flour,1 cup packed brown sugar,1/2 cup butter,2 tablespoons light corn syrup,1 cup pecan halves,1/4 cup butter, softened,1/2 cup white sugar,1 1/2 tablespoons ground cinnamon"
,
"Preheat oven to 210 degrees F (100 degrees C).
                            ,Cover the bottom of a roasting pan with a layer of kosher salt. Place the roast, bone side down, on the salt. Season the meat with the ground black pepper and seasoning salt, then cover completely with kosher salt.
                            ,Roast in preheated oven for 4 to 5 hours, or until the internal temperature of the meat reaches 145 degrees F (63 degrees C).
                            ,Remove from oven and let rest for 30 minutes. This sets the juices and makes the roast easier to carve. (Note: Be sure to remove all the salt from the roast before serving.)
                            ","2 cups coarse kosher salt,4 pounds prime rib roast,1 tablespoon ground black pepper,1 tablespoon seasoning salt"
,
"Preheat oven to 325 degrees F (165 degrees C). Put sweet potatoes in a medium saucepan  with water to cover. Cook over medium high heat until tender; drain and mash.
                            ,In a large bowl, mix together the sweet potatoes, white sugar, eggs, salt, butter, milk and vanilla extract. Mix until smooth. Transfer to a 9x13 inch baking dish.
                            ,In medium bowl, mix the brown sugar and flour. Cut in the butter until the mixture is coarse. Stir in the pecans. Sprinkle the mixture over the sweet potato mixture.
                            ,Bake in the preheated oven 30 minutes, or until the topping is lightly brown.
                            ","4 cups sweet potato, cubed,1/2 cup white sugar,2 eggs, beaten,1/2 teaspoon salt,4 tablespoons butter, softened,1/2 cup milk,1/2 teaspoon vanilla extract,1/2 cup packed brown sugar,1/3 cup all-purpose flour,3 tablespoons butter, softened,1/2 cup chopped pecans"
,
"Preheat oven to 350 degrees F (175 degrees C).
                            ,Place sausage in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, and spread evenly in the bottom of a 9x13 inch pan. Spread cheese over sausage.
                            ,In large bowl, beat together milk and eggs.  Pour over cheese. (May be refrigerated overnight at this point).Top with tater tots.
                            ,Bake in preheated oven for 35 to 45 minutes. Cool for 5 to 10 minutes before serving.
                            ","1 pound ground pork breakfast sausage,2 cups shredded Cheddar cheese,2 cups milk,2 eggs,2 pounds tater tots"
,
"Preheat the oven to 350 degrees F (175 degrees C).
                            ,Heat oil in a frying pan over medium-high heat. Season pork chops with salt and pepper and coat in flour. Brown pork chops on both sides, 3 to 5 minutes, and transfer to a baking dish.
                            ,Melt butter in the same frying pan and cook mushrooms until tender, scraping the bottom of the pan, 5 to 7 minutes. Season with salt and pepper. Add mushroom soup and sherry; stir gravy until well incorporated.
                            ,Pour gravy over pork chops in the baking dish. Cover with aluminum foil.
                            ,Bake in the preheated oven until chops are no longer pink in the center and an instant-read thermometer inserted into the center reads 145 degrees F (63 degrees C), about 35 minutes. Remove aluminum foil, stir gravy, and top pork chops with mozzarella cheese.
                            ,Return to the hot oven and bake until cheese is melted, 3 to 5 minutes more.
                            ","2 tablespoons vegetable oil,4 (1-inch thick) boneless pork chops,salt and ground black pepper to taste,1/4 cup all-purpose flour,2 tablespoons butter,1 (8 ounce) package sliced fresh mushrooms,1 (10.75 ounce) can cream of mushroom soup,1/2 cup dry cooking sherry,4 ounces shredded mozzarella cheese (optional)"
,
"Preheat oven to 350 degrees F (175 degrees C).
                            ,Place green beans and soup in a large microwave-safe bowl.  Mix well and heat in the microwave on HIGH until warm (3 to 5 minutes). Stir in 1/2 cup of cheese and heat mixture for another 2 to 3 minutes. Transfer green bean mixture to a casserole dish and sprinkle with French fried onions and remaining cheese.
                            ,Bake in a preheated 350 degrees F (175 degrees C) oven until the cheese melts and the onions just begin to brown.
                            ","2 (14.5 ounce) cans green beans, drained,1 (10.75 ounce) can condensed cream of mushroom soup,1 (6 ounce) can French fried onions,1 cup shredded Cheddar cheese"
,
"In a large stockpot, heat olive oil over medium heat. Stir in onion and garlic; cook until onion is transparent, about 5 minutes.
                            ,Stir in water, bouillon, salt, and pepper. Bring to a boil, then stir in cabbage. Simmer until cabbage wilts, about 10 minutes.
                            ,Stir in tomatoes. Return to a boil, then simmer 15 to 30 minutes, stirring often.
                            ","3 tablespoons olive oil,1/2 onion, chopped,2 cloves garlic, chopped,2 quarts water,4 teaspoons chicken bouillon granules,1 teaspoon salt, or to taste,1/2 teaspoon black pepper, or to taste,1/2 head cabbage, cored and coarsely chopped,1 (14.5 ounce) can Italian-style stewed tomatoes, drained and diced"
,
"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
                            ,In a large bowl, mix together mashed sweet potatoes, 1/2 cup butter, milk, sugar, vanilla extract, and eggs. Spread sweet potato mixture into the prepared baking dish. In a small bowl, mix together brown sugar and flour. Cut in 1/3 cup butter until mixture is crumbly, then stir in pecans. Sprinkle pecan mixture over the sweet potatoes.
                            ,Bake for 25 minutes in the preheated oven, or until golden brown.
                            ","4 1/2 cups cooked and mashed sweet potatoes,1/2 cup butter, melted,1/3 cup milk,1 cup white sugar,1/2 teaspoon vanilla extract,2 eggs, beaten,1 cup light brown sugar,1/2 cup all-purpose flour,1/3 cup butter,1 cup chopped pecans"
,
"Bring a large pot of lightly salted water to a boil. Add orzo pasta, cook for 8 to 10 minutes, until al dente, and drain.
                            ,Heat the oil in a skillet over medium-high heat, and cook the garlic and red pepper 1 minute, until garlic is golden brown. Stir in chicken, season with salt, and cook 2 to 5 minutes, until lightly browned and juices run clear. Reduce heat to medium, and mix in the parsley and cooked orzo. Place spinach in the skillet. Continue cooking 5 minutes, stirring occasionally, until spinach is wilted. Serve topped with Parmesan cheese.
                            ","1 cup uncooked orzo pasta,2 tablespoons olive oil,2 cloves garlic,1/4 teaspoon crushed red pepper,2 skinless, boneless chicken breast halves - cut into bite-size pieces,salt to taste,1 tablespoon chopped fresh parsley,2 cups fresh spinach leaves,grated Parmesan cheese for topping"
,
"Sift flour, baking powder, and salt together, set aside.  In a large bowl, cream together the margarine and sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla. Gradually blend in the sifted ingredients until fully absorbed. Cover dough, and chill for 2 hours.
                            ,Preheat oven to 400 degrees F (200 degrees C). Grease cookie sheets. On a clean floured surface, roll out small portions of chilled dough to 1/4 inch thickness. Cut out shapes using cookie cutters.
                            ,Bake 6 to 8 minutes in the preheated oven, or until edges are barely brown. Remove from cookie sheets to cool on wire racks.
                            ","3 3/4 cups all-purpose flour,1 teaspoon baking powder,1/2 teaspoon salt,1 cup margarine, softened,1 1/2 cups white sugar,2 eggs,2 teaspoons vanilla extract"
,
"Preheat oven to 400 degrees F (200 degrees C).
                            ,Melt 2 tablespoons butter in a skillet; cook and stir green onion until softened, about 2 minutes. Transfer green onion to a bowl. Stir in crabmeat, bread crumbs, 1/4 cup Monterey Jack cheese,  egg, lemon juice, and dill weed until well mixed.
                            ,Pour 1/2 cup melted butter in a 9x13-inch baking dish; turn mushroom caps in butter to coat. Fill mushroom caps with the crab mixture and sprinkle with remaining 1/2 cup Monterey Jack cheese. Pour white wine into baking dish.
                            ,Bake in preheated oven until cheese is melted and lightly brown, 15 to 20 minutes.
                            ","2 tablespoons butter,2 tablespoons minced green onion,1 cup cooked crabmeat, finely chopped,1/2 cup dry bread crumbs,1/4 cup shredded Monterey Jack cheese,1 egg, beaten,1 teaspoon lemon juice,1/2 teaspoon dried dill weed,1/2 cup butter, melted,1 1/2 pounds fresh button mushrooms, stems removed,1/2 cup shredded Monterey Jack cheese,1/4 cup dry white wine"
,
"Heat 4 cups vegetable oil in a deep-fryer or large saucepan to 375 degrees F (190 degrees C).
                            ,Beat the egg in a mixing bowl. Add the chicken cubes; sprinkle with salt, 1 teaspoon sugar, and white pepper; mix well. Mix in 1 cup of cornstarch a little bit at a time until the chicken cubes are well coated.
                            ,In batches, carefully drop the chicken cubes into the hot oil one by one, cooking until they turns golden brown and begin to float, about 3 minutes. Remove the chicken and allow to cool as you fry the next batch. Once all of the chicken has been fried, refry the chicken, starting with the batch that was cooked first. Cook until the chicken turns deep golden brown, about 2 minutes more. Drain on a paper towel-lined plate.
                            ,Heat 2 tablespoons vegetable oil in a wok or large skillet over high heat. Stir in the green onion, garlic, whole chiles, and orange zest. Cook and stir a minute or two until the garlic has turned golden and the chiles brighten. Add 1/2 cup sugar, the ginger, chicken broth, vinegar, soy sauce, sesame oil, and peanut oil; bring to a boil and cook for 3 minutes.
                            ,Dissolve 2 teaspoons of cornstarch into the water, and stir into the boiling sauce. Return to a boil and cook until the sauce thickens and is no longer cloudy from the cornstarch, about 1 minute. Stir the chicken into the boiling sauce. Reduce heat to low and cook for a few minutes until the chicken absorbs some of the sauce.
                            ","4 cups vegetable oil for frying,1 egg,1 1/2 pounds boneless, skinless chicken thighs, cut into 1/2 inch cubes,1 teaspoon salt,1 teaspoon white sugar,1 pinch white pepper,1 cup cornstarch,2 tablespoons vegetable oil,3 tablespoons chopped green onion,1 clove garlic, minced,6 dried whole red chilies,1 strip orange zest,1/2 cup white sugar,1/4 teaspoon ground ginger,3 tablespoons chicken broth,1 tablespoon rice vinegar,1/4 cup soy sauce,2 teaspoons sesame oil,2 tablespoons peanut oil,2 teaspoons cornstarch,1/4 cup water"
,
"Preheat oven to 350 degrees F (175 degrees C).  Coat a shallow baking dish with nonstick cooking spray.
                            ,Combine flour, parmesan, paprika, salt, and pepper in a bowl.  In a separate bowl, whisk together the egg and milk.  Dip the chicken in the egg, then dredge in the flour mixture.  Place in the baking dish, and pour the melted butter evenly over the chicken.
                            ,Bake for about 1 hour and 15 minutes in the preheated oven, until the cheese has browned, and the chicken has cooked.
                            ","1/4 cup all-purpose flour,1/2 cup grated Parmesan cheese,2 teaspoons paprika,1/2 teaspoon salt,1/2 teaspoon black pepper,1 egg, beaten,2 tablespoons milk,4 skinless, boneless chicken breast halves,1/4 cup butter, melted"
,
"Preheat oven to 350 degrees F (175 degrees C). Grease a 13X9-inch baking pan with cooking spray or butter.
                            ,Combine hash browns, sour cream, bacon, ranch mix, and 1 cup Cheddar cheese in a large bowl; stir until well mixed. Spread into baking pan; cover with aluminum foil.
                            ,Bake in the preheated oven for 45 minutes. Remove foil; sprinkle remaining Cheddar cheese evenly across potatoes. Bake until cheese is bubble and lightly browned around the edges, about 15 minutes.
                            ","cooking spray,1 (32 ounce) package frozen hash brown potatoes, thawed,1 (16 ounce) container sour cream,8 slices cooked bacon, crumbled,1 (1 ounce) package ranch dressing mix,2 cups shredded Cheddar cheese, divided, or more to taste"
,
,
,
"Preheat oven to 450 degrees F.
                            ,Toss sausage, Brussels sprouts, and shallots with oil and thread onto 4-inch skewers. Place on a foil-lined baking sheet. Bake in the preheated oven until vegetables are tender, 7 to 8 minutes.
                            ,Preheat broiler. Broil until caramelized, 2 to 3 minutes.
                            ,Meanwhile, whisk together honey, mustard, vinegar, and pepper. Brush skewers with 1/3 of the honey mixture. Broil 1 minute. Serve skewers with remaining sauce.
                            ","8 ounces Hillshire Farm® Rope Smoked Sausage, cut into 1"" coins,8 ounces Brussels sprouts, halved lengthwise,8 small shallots, peeled and halved lengthwise,3 tablespoons olive oil,1/4 cup honey,1/4 cup coarse-grained mustard,1 tablespoon cider vinegar,1/2 teaspoon black pepper"
,
"Preheat oven to 400 degrees F (200 degrees C). Lightly coat a muffin tin with oil.
                            ,Heat coconut oil in a skillet over medium-high heat. Add mushrooms and onion; saute until tender, about 5 minutes. Transfer to a bowl.
                            ,Line 8 muffin cups with 1 slice of ham each. Place a spoonful of mushroom mixture in each cup and crack 1 egg on top.
                            ,Bake in the preheated oven until egg whites are completely set, about 15 minutes. Top with black pepper.
                            ","1 teaspoon coconut oil,4 mushrooms, finely chopped,1/4 cup finely chopped onion,8 slices thinly sliced ham,8 eggs,freshly ground black pepper to taste"
,
"Place the beans and water in a large stockpot. Add the ham hock, onion and garlic. Season with chili powder, salt and pepper. Bring to a boil, and cook for 2 minutes. Cover, and remove from heat. Let stand for one hour.
                            ,Return the pot to the heat, and bring to a boil once again. Reduce heat to medium-low, and simmer for at least 3 hours to blend flavors. The longer you simmer, the thicker the broth will become. I like to cook mine for about 6 hours.
                            ,Remove the ham hock from the broth, and let cool. Remove the meat from the bone, and return the meat to the stockpot, discarding the bone. Adjust seasonings to taste.
                            ","1 pound dry pinto beans,8 cups water,1 large, meaty ham hock,1 large onion, chopped,2 cloves garlic, minced,1 teaspoon chili powder,1 teaspoon salt, or to taste,1/4 teaspoon ground black pepper, or to taste"
,
